error_id,module,error_message,possible_cause,resolution,related_tcode,related_table,severity
ERR0079,MM,Custom error message 73,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0073,ZTAB0073,Medium
ERR0080,MM,Custom error message 74,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0074,ZTAB0074,Low
ERR0081,QM,Custom error message 75,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0075,ZTAB0075,Medium
ERR0082,QM,Custom error message 76,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0076,ZTAB0076,Low
ERR0083,FI,Custom error message 77,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0077,ZTAB0077,Low
ERR0084,WM,Custom error message 78,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0078,ZTAB0078,High
ERR0085,PP,Custom error message 79,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0079,ZTAB0079,Low
ERR0086,WM,Custom error message 80,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0080,ZTAB0080,High
ERR0087,SD,Custom error message 81,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0081,ZTAB0081,Low
ERR0088,FI,Custom error message 82,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0082,ZTAB0082,Medium
ERR0089,MM,Custom error message 83,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0083,ZTAB0083,High
ERR0090,SD,Custom error message 84,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0084,ZTAB0084,Medium
ERR0091,FI,Custom error message 85,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0085,ZTAB0085,High
ERR0092,SD,Custom error message 86,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0086,ZTAB0086,Medium
ERR0093,PP,Custom error message 87,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0087,ZTAB0087,Low
ERR0094,FI,Custom error message 88,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0088,ZTAB0088,High
ERR0095,PP,Custom error message 89,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0089,ZTAB0089,Low
ERR0096,SD,Custom error message 90,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0090,ZTAB0090,High
ERR0097,PP,Custom error message 91,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0091,ZTAB0091,Medium
ERR0098,PP,Custom error message 92,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0092,ZTAB0092,High
ERR0099,QM,Custom error message 93,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0093,ZTAB0093,Medium
ERR0100,QM,Custom error message 94,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0094,ZTAB0094,Low
ERR0101,SD,Custom error message 95,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0095,ZTAB0095,Medium
ERR0102,MM,Custom error message 96,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0096,ZTAB0096,High
ERR0103,FI,Custom error message 97,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0097,ZTAB0097,High
ERR0104,QM,Custom error message 98,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0098,ZTAB0098,Low
ERR0105,MM,Custom error message 99,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0099,ZTAB0099,High
ERR0106,PP,Custom error message 100,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0100,ZTAB0100,High
ERR0107,MM,Custom error message 101,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0101,ZTAB0101,Low
ERR0108,PP,Custom error message 102,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0102,ZTAB0102,High
ERR0109,WM,Custom error message 103,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0103,ZTAB0103,High
ERR0110,FI,Custom error message 104,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0104,ZTAB0104,Low
ERR0111,PP,Custom error message 105,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0105,ZTAB0105,Medium
ERR0112,FI,Custom error message 106,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0106,ZTAB0106,Low
ERR0113,MM,Custom error message 107,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0107,ZTAB0107,High
ERR0114,FI,Custom error message 108,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0108,ZTAB0108,High
ERR0115,SD,Custom error message 109,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0109,ZTAB0109,Low
ERR0116,QM,Custom error message 110,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0110,ZTAB0110,Low
ERR0117,FI,Custom error message 111,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0111,ZTAB0111,Medium
ERR0118,MM,Custom error message 112,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0112,ZTAB0112,Medium
ERR0119,FI,Custom error message 113,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0113,ZTAB0113,High
ERR0120,WM,Custom error message 114,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0114,ZTAB0114,Low
ERR0121,WM,Custom error message 115,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0115,ZTAB0115,High
ERR0122,FI,Custom error message 116,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0116,ZTAB0116,Medium
ERR0123,QM,Custom error message 117,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0117,ZTAB0117,High
ERR0124,QM,Custom error message 118,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0118,ZTAB0118,High
ERR0125,SD,Custom error message 119,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0119,ZTAB0119,Medium
ERR0126,QM,Custom error message 120,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0120,ZTAB0120,Low
ERR0127,PP,Custom error message 121,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0121,ZTAB0121,Low
ERR0128,PP,Custom error message 122,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0122,ZTAB0122,Low
ERR0129,QM,Custom error message 123,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0123,ZTAB0123,Medium
ERR0130,FI,Custom error message 124,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0124,ZTAB0124,High
ERR0131,FI,Custom error message 125,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0125,ZTAB0125,High
ERR0132,PP,Custom error message 126,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0126,ZTAB0126,Low
ERR0133,PP,Custom error message 127,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0127,ZTAB0127,High
ERR0134,PP,Custom error message 128,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0128,ZTAB0128,Low
ERR0135,QM,Custom error message 129,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0129,ZTAB0129,Low
ERR0136,FI,Custom error message 130,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0130,ZTAB0130,Low
ERR0137,SD,Custom error message 131,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0131,ZTAB0131,High
ERR0138,FI,Custom error message 132,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0132,ZTAB0132,Low
ERR0139,SD,Custom error message 133,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0133,ZTAB0133,Low
ERR0140,QM,Custom error message 134,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0134,ZTAB0134,High
ERR0141,PP,Custom error message 135,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0135,ZTAB0135,Low
ERR0142,FI,Custom error message 136,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0136,ZTAB0136,Medium
ERR0143,WM,Custom error message 137,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0137,ZTAB0137,Low
ERR0144,WM,Custom error message 138,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0138,ZTAB0138,Low
ERR0145,FI,Custom error message 139,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0139,ZTAB0139,Medium
ERR0146,SD,Custom error message 140,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0140,ZTAB0140,Low
ERR0147,FI,Custom error message 141,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0141,ZTAB0141,Low
ERR0148,QM,Custom error message 142,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0142,ZTAB0142,High
ERR0149,MM,Custom error message 143,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0143,ZTAB0143,High
ERR0150,QM,Custom error message 144,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0144,ZTAB0144,Medium
ERR0151,MM,Custom error message 145,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0145,ZTAB0145,Medium
ERR0152,QM,Custom error message 146,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0146,ZTAB0146,High
ERR0153,FI,Custom error message 147,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0147,ZTAB0147,Low
ERR0154,SD,Custom error message 148,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0148,ZTAB0148,Low
ERR0155,PP,Custom error message 149,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0149,ZTAB0149,Low
ERR0156,WM,Custom error message 150,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0150,ZTAB0150,Low
ERR0157,PP,Custom error message 151,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0151,ZTAB0151,High
ERR0158,PP,Custom error message 152,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0152,ZTAB0152,High
ERR0159,WM,Custom error message 153,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0153,ZTAB0153,Medium
ERR0160,SD,Custom error message 154,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0154,ZTAB0154,Medium
ERR0161,QM,Custom error message 155,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0155,ZTAB0155,Low
ERR0162,FI,Custom error message 156,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0156,ZTAB0156,Medium
ERR0163,PP,Custom error message 157,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0157,ZTAB0157,High
ERR0164,PP,Custom error message 158,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0158,ZTAB0158,High
ERR0165,FI,Custom error message 159,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0159,ZTAB0159,High
ERR0166,MM,Custom error message 160,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0160,ZTAB0160,Low
ERR0167,WM,Custom error message 161,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0161,ZTAB0161,Low
ERR0168,FI,Custom error message 162,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0162,ZTAB0162,High
ERR0169,QM,Custom error message 163,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0163,ZTAB0163,Low
ERR0170,WM,Custom error message 164,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0164,ZTAB0164,High
ERR0171,QM,Custom error message 165,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0165,ZTAB0165,High
ERR0172,SD,Custom error message 166,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0166,ZTAB0166,Low
ERR0173,PP,Custom error message 167,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0167,ZTAB0167,Low
ERR0174,FI,Custom error message 168,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0168,ZTAB0168,High
ERR0175,QM,Custom error message 169,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0169,ZTAB0169,Medium
ERR0176,PP,Custom error message 170,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0170,ZTAB0170,Low
ERR0177,PP,Custom error message 171,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0171,ZTAB0171,Low
ERR0178,QM,Custom error message 172,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0172,ZTAB0172,Medium
ERR0179,MM,Custom error message 173,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0173,ZTAB0173,Low
ERR0180,WM,Custom error message 174,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0174,ZTAB0174,Medium
ERR0181,PP,Custom error message 175,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0175,ZTAB0175,Low
ERR0182,MM,Custom error message 176,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0176,ZTAB0176,Medium
ERR0183,PP,Custom error message 177,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0177,ZTAB0177,Medium
ERR0184,QM,Custom error message 178,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0178,ZTAB0178,High
ERR0185,FI,Custom error message 179,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0179,ZTAB0179,High
ERR0186,PP,Custom error message 180,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0180,ZTAB0180,High
ERR0187,PP,Custom error message 181,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0181,ZTAB0181,Low
ERR0188,WM,Custom error message 182,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0182,ZTAB0182,High
ERR0189,QM,Custom error message 183,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0183,ZTAB0183,High
ERR0190,WM,Custom error message 184,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0184,ZTAB0184,High
ERR0191,MM,Custom error message 185,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0185,ZTAB0185,High
ERR0192,FI,Custom error message 186,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0186,ZTAB0186,High
ERR0193,MM,Custom error message 187,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0187,ZTAB0187,Low
ERR0194,MM,Custom error message 188,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0188,ZTAB0188,Low
ERR0195,MM,Custom error message 189,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0189,ZTAB0189,Low
ERR0196,QM,Custom error message 190,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0190,ZTAB0190,Low
ERR0197,QM,Custom error message 191,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0191,ZTAB0191,Medium
ERR0198,PP,Custom error message 192,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0192,ZTAB0192,Medium
ERR0199,PP,Custom error message 193,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0193,ZTAB0193,Low
ERR0200,SD,Custom error message 194,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0194,ZTAB0194,Medium
ERR0201,FI,Custom error message 195,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0195,ZTAB0195,Low
ERR0202,MM,Custom error message 196,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0196,ZTAB0196,Medium
ERR0203,SD,Custom error message 197,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0197,ZTAB0197,Medium
ERR0204,QM,Custom error message 198,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0198,ZTAB0198,Low
ERR0205,QM,Custom error message 199,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0199,ZTAB0199,Low
ERR0206,QM,Custom error message 200,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0200,ZTAB0200,Medium
ERR0207,PP,Custom error message 201,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0201,ZTAB0201,Medium
ERR0208,WM,Custom error message 202,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0202,ZTAB0202,High
ERR0209,QM,Custom error message 203,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0203,ZTAB0203,Medium
ERR0210,WM,Custom error message 204,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0204,ZTAB0204,High
ERR0211,WM,Custom error message 205,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0205,ZTAB0205,High
ERR0212,SD,Custom error message 206,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0206,ZTAB0206,Low
ERR0213,PP,Custom error message 207,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0207,ZTAB0207,Low
ERR0214,QM,Custom error message 208,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0208,ZTAB0208,Low
ERR0215,PP,Custom error message 209,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0209,ZTAB0209,High
ERR0216,FI,Custom error message 210,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0210,ZTAB0210,Low
