issue_id,module,title,symptoms,root_cause,diagnosis_steps,resolution,verification,related_tcodes,related_tables,priority,keywords
ISS0018,PP,Custom Issue 17,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0017,ZTAB0017,Low,pp
ISS0019,WM,Custom Issue 18,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0018,ZTAB0018,Medium,wm
ISS0020,QM,Custom Issue 19,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0019,ZTAB0019,Critical,qm
ISS0021,FI,Custom Issue 20,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0020,ZTAB0020,Low,fi
ISS0022,FI,Custom Issue 21,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0021,ZTAB0021,High,fi
ISS0023,WM,Custom Issue 22,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0022,ZTAB0022,High,wm
ISS0024,WM,Custom Issue 23,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0023,ZTAB0023,Medium,wm
ISS0025,MM,Custom Issue 24,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0024,ZTAB0024,Low,mm
ISS0026,QM,Custom Issue 25,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0025,ZTAB0025,Medium,qm
ISS0027,WM,Custom Issue 26,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0026,ZTAB0026,Medium,wm
ISS0028,QM,Custom Issue 27,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0027,ZTAB0027,Low,qm
ISS0029,MM,Custom Issue 28,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0028,ZTAB0028,Critical,mm
ISS0030,WM,Custom Issue 29,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0029,ZTAB0029,Low,wm
ISS0031,QM,Custom Issue 30,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0030,ZTAB0030,Low,qm
ISS0032,QM,Custom Issue 31,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0031,ZTAB0031,Critical,qm
ISS0033,QM,Custom Issue 32,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0032,ZTAB0032,Critical,qm
ISS0034,SD,Custom Issue 33,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0033,ZTAB0033,Medium,sd
ISS0035,FI,Custom Issue 34,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0034,ZTAB0034,High,fi
ISS0036,WM,Custom Issue 35,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0035,ZTAB0035,High,wm
ISS0037,SD,Custom Issue 36,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0036,ZTAB0036,High,sd
ISS0038,FI,Custom Issue 37,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0037,ZTAB0037,Critical,fi
ISS0039,MM,Custom Issue 38,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0038,ZTAB0038,Medium,mm
ISS0040,MM,Custom Issue 39,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0039,ZTAB0039,Low,mm
ISS0041,FI,Custom Issue 40,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0040,ZTAB0040,Medium,fi
ISS0042,FI,Custom Issue 41,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0041,ZTAB0041,Medium,fi
ISS0043,WM,Custom Issue 42,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0042,ZTAB0042,Low,wm
ISS0044,FI,Custom Issue 43,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0043,ZTAB0043,Critical,fi
ISS0045,MM,Custom Issue 44,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0044,ZTAB0044,Medium,mm
ISS0046,QM,Custom Issue 45,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0045,ZTAB0045,High,qm
ISS0047,SD,Custom Issue 46,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0046,ZTAB0046,Medium,sd
ISS0048,MM,Custom Issue 47,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0047,ZTAB0047,Low,mm
ISS0049,WM,Custom Issue 48,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0048,ZTAB0048,Critical,wm
ISS0050,WM,Custom Issue 49,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0049,ZTAB0049,Critical,wm
ISS0051,MM,Custom Issue 50,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0050,ZTAB0050,Medium,mm
ISS0052,WM,Custom Issue 51,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0051,ZTAB0051,High,wm
ISS0053,QM,Custom Issue 52,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0052,ZTAB0052,Critical,qm
ISS0054,SD,Custom Issue 53,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0053,ZTAB0053,Critical,sd
ISS0055,FI,Custom Issue 54,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0054,ZTAB0054,Critical,fi
ISS0056,FI,Custom Issue 55,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0055,ZTAB0055,Low,fi
ISS0057,QM,Custom Issue 56,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0056,ZTAB0056,Low,qm
ISS0058,QM,Custom Issue 57,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0057,ZTAB0057,Low,qm
ISS0059,FI,Custom Issue 58,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0058,ZTAB0058,Critical,fi
ISS0060,QM,Custom Issue 59,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0059,ZTAB0059,Low,qm
ISS0061,FI,Custom Issue 60,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0060,ZTAB0060,Critical,fi
ISS0062,MM,Custom Issue 61,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0061,ZTAB0061,Low,mm
ISS0063,FI,Custom Issue 62,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0062,ZTAB0062,Medium,fi
ISS0064,SD,Custom Issue 63,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0063,ZTAB0063,Low,sd
ISS0065,FI,Custom Issue 64,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0064,ZTAB0064,Critical,fi
ISS0066,QM,Custom Issue 65,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0065,ZTAB0065,Low,qm
ISS0067,SD,Custom Issue 66,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0066,ZTAB0066,Low,sd
ISS0068,PP,Custom Issue 67,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0067,ZTAB0067,Medium,pp
ISS0069,WM,Custom Issue 68,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0068,ZTAB0068,Critical,wm
ISS0070,WM,Custom Issue 69,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0069,ZTAB0069,Medium,wm
ISS0071,SD,Custom Issue 70,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0070,ZTAB0070,High,sd
ISS0072,PP,Custom Issue 71,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0071,ZTAB0071,Critical,pp
ISS0073,FI,Custom Issue 72,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0072,ZTAB0072,Low,fi
ISS0074,SD,Custom Issue 73,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0073,ZTAB0073,Critical,sd
ISS0075,QM,Custom Issue 74,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0074,ZTAB0074,Medium,qm
ISS0076,QM,Custom Issue 75,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0075,ZTAB0075,High,qm
ISS0077,WM,Custom Issue 76,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0076,ZTAB0076,Medium,wm
ISS0078,WM,Custom Issue 77,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0077,ZTAB0077,Critical,wm
ISS0079,QM,Custom Issue 78,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0078,ZTAB0078,Critical,qm
ISS0080,MM,Custom Issue 79,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0079,ZTAB0079,Low,mm
ISS0081,PP,Custom Issue 80,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0080,ZTAB0080,Critical,pp
ISS0082,SD,Custom Issue 81,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0081,ZTAB0081,Medium,sd
ISS0083,QM,Custom Issue 82,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0082,ZTAB0082,Low,qm
ISS0084,WM,Custom Issue 83,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0083,ZTAB0083,High,wm
ISS0085,SD,Custom Issue 84,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0084,ZTAB0084,Low,sd
ISS0086,MM,Custom Issue 85,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0085,ZTAB0085,Medium,mm
ISS0087,PP,Custom Issue 86,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0086,ZTAB0086,Medium,pp
ISS0088,FI,Custom Issue 87,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0087,ZTAB0087,Low,fi
ISS0089,SD,Custom Issue 88,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0088,ZTAB0088,Low,sd
ISS0090,MM,Custom Issue 89,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0089,ZTAB0089,Critical,mm
ISS0091,QM,Custom Issue 90,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0090,ZTAB0090,Low,qm
ISS0092,PP,Custom Issue 91,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0091,ZTAB0091,Medium,pp
ISS0093,PP,Custom Issue 92,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0092,ZTAB0092,Medium,pp
ISS0094,FI,Custom Issue 93,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0093,ZTAB0093,Medium,fi
ISS0095,FI,Custom Issue 94,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0094,ZTAB0094,High,fi
ISS0096,QM,Custom Issue 95,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0095,ZTAB0095,High,qm
ISS0097,MM,Custom Issue 96,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0096,ZTAB0096,Medium,mm
ISS0098,QM,Custom Issue 97,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0097,ZTAB0097,Critical,qm
ISS0099,FI,Custom Issue 98,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0098,ZTAB0098,High,fi
ISS0100,SD,Custom Issue 99,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0099,ZTAB0099,High,sd
ISS0101,SD,Custom Issue 100,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0100,ZTAB0100,Critical,sd
ISS0102,WM,Custom Issue 101,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0101,ZTAB0101,Medium,wm
ISS0103,WM,Custom Issue 102,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0102,ZTAB0102,Medium,wm
ISS0104,SD,Custom Issue 103,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0103,ZTAB0103,Medium,sd
ISS0105,FI,Custom Issue 104,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0104,ZTAB0104,Critical,fi
ISS0106,WM,Custom Issue 105,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0105,ZTAB0105,Critical,wm
ISS0107,WM,Custom Issue 106,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0106,ZTAB0106,High,wm
ISS0108,MM,Custom Issue 107,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0107,ZTAB0107,High,mm
ISS0109,FI,Custom Issue 108,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0108,ZTAB0108,Medium,fi
ISS0110,SD,Custom Issue 109,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0109,ZTAB0109,Medium,sd
ISS0111,MM,Custom Issue 110,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0110,ZTAB0110,Medium,mm
ISS0112,FI,Custom Issue 111,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0111,ZTAB0111,Medium,fi
ISS0113,WM,Custom Issue 112,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0112,ZTAB0112,High,wm
ISS0114,WM,Custom Issue 113,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0113,ZTAB0113,High,wm
ISS0115,QM,Custom Issue 114,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0114,ZTAB0114,Low,qm
ISS0116,QM,Custom Issue 115,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0115,ZTAB0115,Low,qm
ISS0117,FI,Custom Issue 116,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0116,ZTAB0116,Low,fi
ISS0118,WM,Custom Issue 117,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0117,ZTAB0117,Medium,wm
ISS0119,WM,Custom Issue 118,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0118,ZTAB0118,Medium,wm
ISS0120,MM,Custom Issue 119,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0119,ZTAB0119,Medium,mm
ISS0121,MM,Custom Issue 120,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0120,ZTAB0120,Medium,mm
ISS0122,WM,Custom Issue 121,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0121,ZTAB0121,Low,wm
ISS0123,PP,Custom Issue 122,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0122,ZTAB0122,Low,pp
ISS0124,PP,Custom Issue 123,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0123,ZTAB0123,High,pp
ISS0125,QM,Custom Issue 124,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0124,ZTAB0124,Critical,qm
ISS0126,SD,Custom Issue 125,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0125,ZTAB0125,Low,sd
ISS0127,PP,Custom Issue 126,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0126,ZTAB0126,High,pp
ISS0128,MM,Custom Issue 127,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0127,ZTAB0127,Critical,mm
ISS0129,QM,Custom Issue 128,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0128,ZTAB0128,Medium,qm
ISS0130,FI,Custom Issue 129,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0129,ZTAB0129,Critical,fi
ISS0131,QM,Custom Issue 130,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0130,ZTAB0130,Low,qm
ISS0132,PP,Custom Issue 131,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0131,ZTAB0131,Medium,pp
ISS0133,QM,Custom Issue 132,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0132,ZTAB0132,Critical,qm
ISS0134,MM,Custom Issue 133,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0133,ZTAB0133,Low,mm
ISS0135,SD,Custom Issue 134,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0134,ZTAB0134,Critical,sd
ISS0136,MM,Custom Issue 135,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0135,ZTAB0135,Medium,mm
ISS0137,SD,Custom Issue 136,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0136,ZTAB0136,High,sd
ISS0138,WM,Custom Issue 137,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0137,ZTAB0137,High,wm
ISS0139,SD,Custom Issue 138,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0138,ZTAB0138,Low,sd
ISS0140,SD,Custom Issue 139,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0139,ZTAB0139,Medium,sd
ISS0141,SD,Custom Issue 140,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0140,ZTAB0140,Low,sd
ISS0142,MM,Custom Issue 141,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0141,ZTAB0141,Medium,mm
ISS0143,SD,Custom Issue 142,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0142,ZTAB0142,Critical,sd
ISS0144,MM,Custom Issue 143,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0143,ZTAB0143,Medium,mm
ISS0145,SD,Custom Issue 144,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0144,ZTAB0144,Low,sd
ISS0146,SD,Custom Issue 145,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0145,ZTAB0145,Low,sd
ISS0147,SD,Custom Issue 146,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0146,ZTAB0146,Medium,sd
