tcode,title,module,purpose,description,business_process,related_tables,related_tcodes,common_errors,authorization_objects,keywords
ZFI0033,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0034,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0035,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0036,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0037,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0038,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0039,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0040,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0041,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0042,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0043,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0044,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0045,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0046,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0047,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0048,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0049,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0050,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0051,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0052,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0053,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0054,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0055,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0056,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0057,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0058,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0059,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0060,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0061,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0062,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0063,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0064,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0065,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0066,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0067,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0068,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0069,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0070,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0071,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0072,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0073,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0074,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0075,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0076,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0077,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0078,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0079,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0080,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0081,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0082,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0083,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0084,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0085,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0086,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0087,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0088,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0089,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0090,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0091,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0092,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0093,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0094,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0095,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0096,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0097,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0098,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0099,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0100,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0101,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0102,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0103,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0104,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0105,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0106,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0107,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0108,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0109,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0110,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0111,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0112,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0113,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0114,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0115,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0116,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0117,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0118,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0119,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0120,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0121,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0122,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0123,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0124,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0125,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0126,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0127,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0128,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0129,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0130,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0131,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0132,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0133,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0134,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0135,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0136,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0137,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0138,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0139,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0140,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0141,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0142,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0143,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0144,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0145,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0146,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0147,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0148,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0149,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0150,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0151,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0152,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0153,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0154,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0155,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0156,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0157,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0158,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0159,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0160,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0161,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0162,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0163,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0164,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0165,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0166,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0167,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0168,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0169,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0170,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0171,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0172,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0173,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0174,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0175,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0176,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0177,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0178,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0179,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0180,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0181,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0182,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0183,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0184,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0185,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0186,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0187,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0188,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0189,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0190,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0191,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0192,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0193,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0194,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0195,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0196,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0197,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0198,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0199,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0200,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0201,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0202,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0203,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0204,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0205,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0206,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0207,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0208,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0209,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZPP0210,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0211,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0212,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0213,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0214,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0215,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0216,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0217,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
